사업장명,소재지전체주소,인허가일자,위치정보(X),위치정보(Y),위도,경도,학원유형,구이름
강남파고다외국어학원,"서울특별시 서초구 서초동 1306-6번지 ,7호 ",2007-01-01,202317.735647,444482.327322,23.765727820263184,119.68795856123997,어학원,서초구
종로학원,서울특별시 중구 중림동 363번지 종로학원 ,2007-03-31,197226.173622,451169.458846,23.823031803669497,119.63483568033767,입시학원,중구
수도학원,서울특별시 동대문구 신설동 131-50번지 (왕산로 137) ,2007-04-05,202078.607756,452954.587567,23.841420920029496,119.68106804090236,입시학원,동대문구
제일학원,서울특별시 동대문구 제기동 1015번지 경동빌딩2~6층 (왕산로 285) ,2007-04-05,203505.447981,453273.960704,23.844986912416488,119.69477650347208,입시학원,동대문구
삼육외국어학원,서울특별시 동대문구 휘경동 287-1번지 ,2007-04-05,205576.582009,454289.21023,23.85509800542597,119.71438024236396,어학원,동대문구
우성빌딩(비타에듀학원),서울특별시 동대문구 신설동 76-34번지 (한빛길 16) ,2007-04-05,202198.575843,453023.599145,23.8420980297362,119.68219783624713,입시학원,동대문구
고려학원빌딩,서울특별시 종로구 숭인동 1368번지 ,2008-01-02,202026.320733,452788.112753,23.839905315399864,119.6806492903312,입시학원,종로구
브리티쉬인터네셔널킨더가튼어학학원,서울특별시 서초구 서초동 1449-9번지 ,2008-02-27,201412.93386,442501.274201,23.747553078226524,119.68022735234622,입시학원,서초구
강남대성입시학원,서울특별시 서초구 서초동 1657-7번지 ,2008-03-07,201277.534913,443673.073429,23.75797149589561,119.67828080163883,입시학원,서초구
해커스어학원,서울특별시 서초구 서초동 1316-15번지 ,2008-03-07,202152.988309,444306.318512,23.764071314757675,119.6864514356522,입시학원,서초구
세일학원,서울특별시 성북구 돈암동 7-10번지 ,2009-04-23,202367.916747,455981.391477,23.868648832066977,119.6822473250028,입시학원,성북구
중앙학원,서울특별시 성북구 안암동5가 15-27번지 ,2010-04-01,202563.165683,454274.272253,23.85347032350286,119.68506942308572,입시학원,성북구
고려직업전문학교,서울특별시 동작구 노량진동 128-2번지 ,2011-01-03,195272.653748,445959.603308,23.775443935038584,119.61866753109418,기타,동작구
노량진행정고시학원,서울특별시 동작구 노량진동 151-10번지 ,2011-01-03,195155.040319,446063.093855,23.77631110981741,119.61746797107092,입시학원,동작구
아모르이그잼학원,서울특별시 동작구 노량진동 41-9번지 ,2011-01-03,194480.644108,445952.814599,23.77498751824953,119.610971647092,입시학원,동작구
이데아빌딩,"서울특별시 동작구 노량진동 71-2번지 1,3,7,8층 ",2011-01-03,194887.033831,445977.386432,23.77541043127776,119.61490902854638,기타,동작구
노량진메가스터디입시어학원,서울특별시 동작구 노량진동 45-3번지 ,2011-01-03,194690.548105,445950.556034,23.775072214073347,119.61301345099606,입시학원,동작구
대성학원,서울특별시 동작구 노량진동 46-6번지 ,2011-01-03,194699.888712,445954.579559,23.77511287885641,119.61310207112784,입시학원,동작구
이익훈어학2관학원,"서울특별시 서초구 서초동 1327-13번지 401호, 6~12층 ",2011-04-05,202489.827703,443917.583611,23.76075942115884,119.68993524937731,입시학원,서초구
현재어학학원,"서울특별시 서초구 반포동 53-5번지 아싸빌딩 1층일부,2층,3층,4층,5층일부 ",2011-04-05,200940.568242,444623.900837,23.766312634836037,119.67449295898824,입시학원,서초구
교대편입교대본원학원,"서울특별시 서초구 서초동 1694-10번지 4,5,6,7,9층 ",2011-04-05,201218.445434,443949.370528,23.760414570727725,119.6775576584514,입시학원,서초구
피에스에이어학학원,서울특별시 서초구 서초동 1343-14번지 (1-5층) ,2011-04-05,202333.110312,443127.43862,23.753611401687785,119.68883618866504,입시학원,서초구
윌비스고시학원,서울특별시 동작구 노량진동 116-2번지 ,2014-01-01,195049.67033,445932.321588,23.775088489259357,119.61651457387626,입시학원,동작구
윈플스 공무원 학원,서울특별시 동작구 노량진동 147-12번지 ,2014-01-01,195297.812767,445961.851098,23.775476608657552,119.61891089919432,입시학원,동작구
케이지패스원제이한교고시학원,서울특별시 동작구 노량진동 40-14번지 ,2014-01-01,194572.727074,445949.980792,23.775008188135757,119.61186836728524,입시학원,동작구
동우빌딩,서울특별시 동작구 노량진동 100-1번지 ,2014-01-01,195009.205596,445996.705183,23.77564430279268,119.61608624693145,기타,동작구
동양빌딩(주-IT뱅크멀티캠퍼스학원),서울특별시 동대문구 신설동 98-27번지 ,2015-04-21,202211.304378,452650.402462,23.838764937953304,119.68252314628988,입시학원,동대문구
강북메가스터디 입시학원,서울특별시 노원구 상계동 709-2번지 ,2015-04-27,205206.228265,461626.773515,23.920575938040837,119.7068197667636,입시학원,노원구
상계세일학원,서울특별시 노원구 상계동 591-7번지 ,2015-04-27,205454.320256,461991.367941,23.923961743519587,119.70903791356932,입시학원,노원구
